id;texto;rotulo;fonte
75;Uma pessoa pobre ter que pagar para ter uma perícia técnica para poder entrar na Justiça. - Marina Silva (Rede);VERDADE;AOS FATOS
76;Enquanto isso, no governo FHC, a carga tributária aumentou de 26% para 32%. - Fernando Haddad (PT);VERDADE;AOS FATOS
77;Reduzimos o imposto do etanol, do carro, de 25% para 12%, o menor do país. - Geraldo Alckmin (PSDB);VERDADE;AOS FATOS
78;O PSDB está fora do governo federal há 16 anos. - Geraldo Alckmin (PSDB);FALSO;AOS FATOS
79;32 milhões de pessoas vivem de bico. - Ciro Gomes (PDT);VERDADE;AOS FATOS
80;Acumulamos quase 400 bilhões de dólares em reservas cambiais. - Fernando Haddad (PT);VERDADE;AOS FATOS
81;Eu fui ministro da educação, eu praticamente tripliquei o número de universitários no Brasil;FALSO;AOS FATOS
82;220 mil pontos de comércio fecharam no Brasil;VERDADE;AOS FATOS
83;O próprio Fernando Haddad, disse que vai chamar uma constituinte sem dizer quais são as bases dessa constituinte,;VERDADE;AOS FATOS
84;Governador Geraldo Alckmin, nós temos mais de 70 mil políticos no Brasil com mandatos.;VERDADE;AOS FATOS
85;Aliás, quero fazer aqui um reparo respeitoso ao Boulos: educação e saúde podem crescer na PEC acima da inflação.;VERDADE;AOS FATOS
86;Existem 14 milhões de famílias que dependem do Bolsa Família no Brasil.;VERDADE;AOS FATOS
87;Porque o Brasil tem nem sequer satélite de comunicação,;FALSO;AOS FATOS
88;O general Mourão propôs convocar um conselho de notáveis nomeado pelo Bolsonaro ou por ele, não se sabe, e, por fora do Congresso Nacional, que não teria nenhuma participação no processo, submeter uma carta redigida por esse conselho, por plebiscito ou referendo, à população.;VERDADE;AOS FATOS
89;Existem 52 milhões de pessoas abaixo da linha pobreza;VERDADE;AOS FATOS
90;No dia do evento, 6 de setembro, o outro criminoso tentou entrar na Câmara com a carteira de identidade do cara Adélio Bispo de Oliveira.;FALSO;AOS FATOS
91;O voto eletrônico É um sistema eleitoral que não existe em nenhum lugar do mundo.;FALSO;AOS FATOS
92;A senhora Dilma esteve em Quito em 2014, acertou com a Unasul. Onde descobriram que o voto eletrônico era o caminho do poder.;FALSO;AOS FATOS
93;Me ache um áudio, imagem minha que mulher tem que ganhar menos que homem. Não existe isso.;FALSO;AOS FATOS
94;Desde o Estatuto do Desarmamento, a criminalidade subiu.;FALSO;AOS FATOS
95;A própria ex-mulher na matéria da Veja desmente muita coisa.;FALSO;AOS FATOS
96;São Paulo cresceu no Ideb no primeiro ciclo, cresceu no segundo ciclo, perdeu no ensino médio. - Geraldo Alckmin (PSDB);VERDADE;AOS FATOS
97;O meu estado tem a menor mortalidade infantil do Brasil. - Ciro Gomes (PDT);FALSO;AOS FATOS
98;Quem tem um carro paga imposto, IPVA. Quem tem um jatinho ou um helicóptero não paga nada. - Guilherme Boulos (PSOL);VERDADE;AOS FATOS
99;Participei de governos que geraram em 12 anos 20 milhões de postos de trabalho. - Fernando Haddad (PT);VERDADE;AOS FATOS
100;Você Marina participou desse movimento pelo impeachment para colocar o Temer lá. - Fernando Haddad (PT);VERDADE;AOS FATOS
101;Temos mais de 400 milhões na extrema pobreza. - Cabo Daciolo (Patriota);FALSO;AOS FATOS
102;Aqueles que se aposentam mais cedo são aqueles que ganham mais. Aqueles que ganham menos têm que chegar aos 65 anos de idade para se aposentar. - Henrique Meirelles (MDB);VERDADE;AOS FATOS
103;Hoje, o maior desemprego é sobre elas as mulheres. - Marina Silva (Rede);VERDADE;AOS FATOS
104;Todas as pesquisas mostram que eu ganho do Haddad e ganho do Bolsonaro no segundo turno. - Ciro Gomes (PDT);VERDADE;AOS FATOS
105;Quando fui ministro da Educação, levei banda larga para todas as escolas urbanas. - Fernando Haddad (PT);FALSO;AOS FATOS
106;Fui expulso do PSDB porque apoiei a instalação de uma CPI para investigar a corrupção. - Alvaro Dias (Podemos);VERDADE;AOS FATOS
107;FHC aumentou de 26% para 32% do PIB a carga tributária. - Fernando Haddad (PT);VERDADE;AOS FATOS
108;Nós PT não aumentamos em 1% do PIB a carga tributária. - Fernando Haddad (PT);VERDADE;AOS FATOS
109;Um terço dos jovens estão no desemprego. - Geraldo Alckmin (PSDB);VERDADE;AOS FATOS
110;Não fechamos nenhuma escola. - Geraldo Alckmin (PSDB);FALSO;AOS FATOS
111;Entre todos os candidatos, somente Geraldo Alckmin apresentou propostas para combater a criminalidade que assola o país.;FALSO;AOS FATOS
112;Jair Bolsonaro que, em quase 30 anos de Congresso, nunca presidiu uma comissão.;VERDADE;AOS FATOS
113;Eu sou ficha limpa. - Ciro Gomes (PDT);VERDADE;AOS FATOS
114;Você quer seu filho cursando o ensino médio na pública e, ao mesmo tempo, aprendendo uma profissão? Passando o dia na escola fazendo três refeições e com estágio em empresa pago pelo governo? Isso já existe no Ceará. - Ciro Gomes (PDT);VERDADE;AOS FATOS
115;O Prouni que já beneficiou mais de dois milhões de estudantes de baixa renda - Fernando Haddad (PT);VERDADE;AOS FATOS
116;Criamos 20 milhões de emprego com carteira assinada. - Fernando Haddad (PT);FALSO;AOS FATOS
117;Criamos 10 milhões de empregos - Henrique Meireles (MDB);VERDADE;AOS FATOS
118;Foi governador do Paraná com mais de 90% de aprovação. - Álvaro Dias (PODEMOS);VERDADE;AOS FATOS
119;Reduzi o desmatamento em 80%.;FALSO;AOS FATOS
120;Hoje, na prática, já existe uma idade mínima. As pessoas pobres já se aposentam aos 65 anos.;VERDADE;AOS FATOS
121;Dobrei as reservas extrativistas.;VERDADE;AOS FATOS
122;Áudio gravado por enfermeira mostra Bolsonaro surtando após divulgação de pesquisa Ibope;FALSO;AOS FATOS
123;100% Absurdo! Olha a visão do candidato de LulaLadrão (Malddad), o cara que vocês irão votar a pedido do LulaLadrão, a mesma coisa de Dilma e Temer, ou talvez pior ainda!;FALSO;AOS FATOS
124;O nosso programa Dívida Zero, antes do registro do TSE, vazou para a Folha de S. Paulo, antes do Ciro sequer mencionar esse programa Nome Limpo.;FALSO;AOS FATOS
125;Foi recentemente arquivado um processo do José Serra dizendo: ó, tá prescrito porque é só caixa dois.;FALSO;AOS FATOS
126;Cinco bancos, inclusive dois públicos, eles concentram 80% do crédito.;VERDADE;AOS FATOS
127;Nós nunca atraímos tanto investimento estrangeiro no Brasil como na época dos governos do PT.;VERDADE;AOS FATOS
128;Nunca tive uma denúncia por corrupção, não tenho nenhum processo. - Henrique Meirelles (MDB);VERDADE;AOS FATOS
129;Nós tivemos 63 mil assassinatos no Brasil. - Geraldo Alckmin (PSDB);VERDADE;AOS FATOS
130;9 milhões de pessoas levadas para a linha abaixo da pobreza. - Geraldo Alckmin (PSDB);VERDADE;AOS FATOS
131;Mulheres receberem salários menores. - Marina Silva (Rede);VERDADE;AOS FATOS
132;Nesse momento, enquanto estamos aqui nesse debate, três pessoas vão morrer por causa da hepatite C. - Marina Silva (Rede);FALSO;AOS FATOS
133;Quando assumi, o PIB tinha caído mais de 5%. - Henrique Meirelles (MDB);VERDADE;AOS FATOS
134;Geramos 20 milhões de empregos. - Fernando Haddad (PT);VERDADE;AOS FATOS
135;São mais de 60 mil estupros. - Marina Silva (Rede);VERDADE;AOS FATOS
136;2 milhões de bolsas do Prouni concedidas a jovens de baixa renda. - Fernando Haddad (PT);VERDADE;AOS FATOS
137;O PT pediu dezenas de impeachments contra o presidente FHC. - Geraldo Alckmin (PSDB);FALSO;AOS FATOS
138;Quanto mais pobre você é, mais imposto você paga proporcionalmente à sua renda. - Ciro Gomes (PDT);VERDADE;AOS FATOS
139;Os governos passados Legaram a nós brasileiros 62 milhões abaixo da linha da pobreza - Alvaro Dias (Podemos);FALSO;AOS FATOS
140;O governo Dilma-Temer foi o que menos demarcou terras. - Marina Silva (Rede);VERDADE;AOS FATOS
141;O Ceará cobra 8% sobre as heranças grandes e São Paulo cobra 4%. - Ciro Gomes (PDT);VERDADE;AOS FATOS
142;A agricultura familiar responde por 80% da comida da nossa mesa. - Ciro Gomes (PDT);VERDADE;AOS FATOS
143;O Pronaf, a agricultura familiar, nunca recebeu tantos recursos como no governo Lula. - Fernando Haddad (PT);FALSO;AOS FATOS
144;Um milhão de pessoas se reúnem por Bolsonaro em Brasília! É de arrepiar! E ainda dizem que ele não vencerá no primeiro turno, mas é claro que eu não acredito!;FALSO;AOS FATOS
145;São Paulo não aumentou um imposto. - Fernando Haddad (PT);FALSO;AOS FATOS
146;No Brasil, de cada 100 alunos, só 59 se formam, 41 abandonam o ensino médio.;FALSO;AOS FATOS
147;Em São Paulo temos a menor evasão escolar do Brasil. - Fernando Haddad (PT);FALSO;AOS FATOS
148;São Paulo teve superávit no ano passado, de R$ 5,3 bilhões. - Fernando Haddad (PT);VERDADE;AOS FATOS
149;Muito poucos países têm essa coisa de inflation target, que se chama meta de inflação no Brasil.;FALSO;AOS FATOS
150;Eu fui ministro da Fazenda e eu peguei a inflação a 3% ao mês e entreguei com 0%.;FALSO;AOS FATOS
151;Do dia que a reforma trabalhista entrou em vigor, com a mentirosa promessa que ia ajudar a superar o desemprego, 980 mil novos desempregados foram produzidos no Brasil.;FALSO;AOS FATOS
152;Eu fui ministro da Fazenda e ao final desse período o país estava crescendo, com desemprego quase perto de 3%.;VERDADE;AOS FATOS
153;O Haddad já disse isso no mesmo minuto da posse, ele assina o indulto de Lula e no momento seguinte o nomeia Chefe da Casa Civil.;FALSO;AOS FATOS
154;O PT surgiu em 80, no período do que chamam ditadura militar.;VERDADE;AOS FATOS
155;A frase de maior força da argumentação de Rachel Dodge na ação contra o voto impresso era a de que a impressão do voto comprometia a segurança das eleições.;VERDADE;AOS FATOS
156;O número de roubos de veículos diminuiu 34%. - Geraldo Alckmin (PSDB);VERDADE;AOS FATOS
157;Reduzimos em 70% o número de homicídios.  - Geraldo Alckmin (PSDB);FALSO;AOS FATOS
158;Até o Bolsa Família está sendo cortado no governo Temer. - Fernando Haddad (PT);FALSO;AOS FATOS
159;Os integrantes do governo Temer Aumentaram a gasolina, o diesel. - Fernando Haddad (PT);VERDADE;AOS FATOS
160;Eu sou ficha limpa. - Ciro Gomes (PDT);VERDADE;AOS FATOS
161;Senador mais bem votado do Brasil. - Alvaro Dias (PODEMOS);VERDADE;AOS FATOS
162;Quando que a recessão começa? Depois da reeleição de Dilma Rousseff.;FALSO;AOS FATOS
163;Dilma afastou Renato Duque quando tomou posse, a partir de um rumor de que ele poderia estar envolvido em um esquema de propina.;FALSO;AOS FATOS
164;Meu plano de metas tinha 123 metas, eu cumpri a maioria delas.;VERDADE;AOS FATOS
165;Eu entreguei a prefeitura de SP com R$ 5,5 bilhões em caixa, com R$ 2,2 bilhões para pagar.;VERDADE;AOS FATOS
166;Uma foto com Gleisi Hoffmann foi encontrada em um dos celulares de Adélio Bispo de Oliveira, autor do atentado contra o Jair Messias Bolsonaro.;FALSO;AOS FATOS
167;Bastaram dois anos para que o Brasil voltasse ao Mapa da Fome.;FALSO;AOS FATOS
168;Foram 20 milhões de empregos em 12 anos.;VERDADE;AOS FATOS
169;Será que foi por Lula ter Duplicado as vagas públicas nas universidades federais.;VERDADE;AOS FATOS
170;Aproximadamente 25% dos professores que atuam na educação básica não possuem licenciatura específica para as disciplinas que lecionam. - Fernando Haddad (PT);FALSO;AOS FATOS
171;28% das pessoas entre 18 e 24 anos não estudavam nem trabalhavam em 2017, na faixa entre 25 e 29 anos, esse percentual era de 25%. - Ciro Gomes (PDT);VERDADE;AOS FATOS
172;Quase metade dos jovens de 14 a 29 anos não completou o ensino médio - Jair Bolsonaro (PSL);VERDADE;AOS FATOS
173;Atualmente, a oferta de creches para crianças de 0 a 3 anos é de 30%. - Marina Silva (Rede);VERDADE;AOS FATOS
174;Hoje, a maioria dos estudantes do ensino fundamental não atinge níveis de proficiência adequados. - Marina Silva (Rede);VERDADE;AOS FATOS
175;Fotos mostram homem que atacou Bolsonaro na companhia de Lula;FALSO;AOS FATOS
176;Quando eu fui presidente do Banco Central no governo Lula, criamos 10 milhões de empregos no Brasil em oito anos. - Henrique Meirelles (MDB);VERDADE;AOS FATOS
177;Sua fortuna, Meirelles, de quase R$ 400 milhões. - Guilherme Boulos (PSOL);VERDADE;AOS FATOS
178;Em 2016, chegamos a 542% na taxa do cartão de crédito, na taxa de juros do cartão de crédito. - Alvaro Dias (Podemos);FALSO;AOS FATOS
179;Enquanto em Portugal, é o Banco Central que define os juros, e lá 16% ao ano. - Alvaro Dias (Podemos);VERDADE;AOS FATOS
180;No Ceará, o número de homicídios dobrou nos últimos dez anos. - Marina Silva (Rede);VERDADE;AOS FATOS
181;Uma de cada três escolas de ensino médio do Ceará, que é muito pobre já é assim oferecem estágio remunerado. - Ciro Gomes (PDT);FALSO;AOS FATOS
182;A lei diz claramente que, ocupando a mesma posição e tendo exatamente as mesmas funções, homens e mulheres devem ganhar a mesma coisa. - Henrique Meirelles (MDB);VERDADE;AOS FATOS
183;Saímos do 25º Estado mais perigoso para o mais seguro do país. - Geraldo Alckmin (PSDB);VERDADE;AOS FATOS
184;Nosso país é o quinto em morte contra as mulheres. - Guilherme Boulos (PSOL);VERDADE;AOS FATOS
185;As mulheres negras são as mais agredidas. - Marina Silva (Rede);VERDADE;AOS FATOS
186;Em São Paulo, 90 mil presos trabalham e estudam. - Geraldo Alckmin (PSDB);FALSO;AOS FATOS
187;São 33 mil assassinatos por ano de jovens. - Marina Silva (Rede);VERDADE;AOS FATOS
188;Pela primeira vez na história brasileira um presidente da República é acusado, ele mesmo, pela PGR, por corrupção e formação de quadrilha. - Ciro Gomes (PDT);VERDADE;AOS FATOS
189;Geraldo Alckmin criou o programa Mulheres de Peito. - Geraldo Alckmin (PSDB);VERDADE;AOS FATOS
190;Cortaram o governo Temer o Bolsa Família. - Fernando Haddad (PT);FALSO;AOS FATOS
191;A ONU já decidiu que Lula pode ser candidato. Mesmo assim, o registro foi negado. - Fernando Haddad (PT);VERDADE;AOS FATOS
192;Nunca tive um processo na vida. - Henrique Meirelles (MDB);FALSO;AOS FATOS
193;Brasil, 2002. Os brasileiros sofrendo com uma grave crise econômica. - Henrique Meirelles (MDB);VERDADE;AOS FATOS
194;Eu pedi o impeachment da Dilma. - Alvaro Dias (Podemos);VERDADE;AOS FATOS
195;Eu pedi a cassação do Temer. - Alvaro Dias (Podemos);VERDADE;AOS FATOS
196;A dívida média de cada um com nome no SPC é de R$ 4.200. - Ciro Gomes (PDT);VERDADE;AOS FATOS
197;Polícia Federal descobriu esquema que planejava o assassinato de Jair Bolsonaro.;FALSO;AOS FATOS
198;Você sabe quem foi o meu ministro da Educação? É o Mendonça Filho, que é do DEM, um partido que apoia a sua candidatura. Vídeo de Michel Temer para Geraldo Alckmin;VERDADE;AOS FATOS
199;E o Ministério da Saúde está com o PP, um partido que apoia a sua candidatura, teve três ministérios, continua com três ministérios. Vídeo de Michel Temer para Geraldo Alckmin;VERDADE;AOS FATOS
200;Você sabe quem foi o ministro da Indústria e Comércio? Foi o Marcos Pereira, que é candidato a deputado federal do PRB, que apoia a sua candidatura. Estava no meu governo e continua no meu governo e agora é base de apoio da sua candidatura. Vídeo de Michel Temer para Geraldo Alckmin;VERDADE;AOS FATOS
201;Agora eu volto a falar com você para dizer como o PSDB me ajudou no governo e como foi base do governo. Vídeo de Michel Temer para Geraldo Alckmin;VERDADE;AOS FATOS
202;Eu nomeei o José Serra para o Ministério das Relações Exteriores. Vídeo de Michel Temer para Geraldo Alckmin;VERDADE;AOS FATOS
203;Mais tarde eu levei o PSDB para dentro do Palácio do Planalto por meio do nosso prezadíssimo Imbassahy. Vídeo de Michel Temer para Geraldo Alckmin;VERDADE;AOS FATOS
204;Só neste ano, foram criadas 448 mil vagas com carteiras assinadas. Vídeo de Michel Temer para Fernando Haddad;VERDADE;AOS FATOS
205;O estoque de capital de investimento em infraestrutura é de um número excessivamente baixo se comparado com 65% no Japão e 40% na Índia.;FALSO;AOS FATOS
206;Investimento nacional, que chegou ao seu ápice nesse século em 2013, representando 21% do PIB, para, em seguida, apresentar quedas constantes, atingindo patamares inferiores a 16%.;VERDADE;AOS FATOS
207;O segmento mais pobre da população, que atualmente corresponde a quase 15 milhões de pessoas, segundo pesquisa recente do IBGE.;VERDADE;AOS FATOS
208;Durante o governo de Juscelino Kubitschek crescemos em média 8% ao ano.;VERDADE;AOS FATOS
209;Não é verdade que houve críticas sobre a demora no licenciamento durante o tempo no Ministério do Meio Ambiente.;FALSO;AOS FATOS
210;Eu sou a única candidata que disse que apóia a Lava Jato.;FALSO;AOS FATOS
211;Desde 2010 que eu defendo que a gente tinha que transitar para um regime de capitalização e contribuições.;VERDADE;AOS FATOS
212;A UFMG fez um estudo que 80% das atividades domésticas são feitas por mulheres.;VERDADE;AOS FATOS
213;Desde que ele Temer entrou ele só aumenta o déficit público.;FALSO;AOS FATOS
214;São 30 homicídios por mil habitantes, segundo o Atlas da Violência de 2018.;FALSO;AOS FATOS
215;Mais da metade das pessoas abaixo da linha de pobreza é de mulheres sem cônjuge com filhos até 14 anos.;FALSO;AOS FATOS
216;Nosso baixo crescimento, de apenas 2.2% ao ano, em média, nos últimos 30 anos (1988-2017).;VERDADE;AOS FATOS
217;Plano Nacional de Promoção e Cidadania LGBT: são 180 itens, entre eles a desconstrução da heteronormatividade. Ou seja, estão ensinando, em algumas escolas, que homem e mulher tá errado.;FALSO;AOS FATOS
218;Eles tinham acabado o 9° Seminário LGBT infantil. Estavam discutindo ali, comemorando o lançamento do material para combater a homofobia, que passou a ser conhecido como kit gay. Entre esse material estava esse livro Aparelho Sexual e Cia..;FALSO;AOS FATOS
219;Você nunca ouviu isso. Eu nunca falei isso que empregaria mulheres com salário menor do que o dos homens.;FALSO;AOS FATOS
220;Eu fui o único a votar contra a PEC das Domésticas, em dois turnos.;FALSO;AOS FATOS
221;Sou o único candidato que tem a proposta tributária explícita no programa de governo.;FALSO;AOS FATOS
222;Réu, com certeza, ele Carlos Lupi não é.;FALSO;AOS FATOS
223;Uma de cada três escolas de ensino médio no Ceará é de ensino integral profissionalizante.;FALSO;AOS FATOS
224;Na Lava Jato No lado do PSDB, não há nenhum na cadeia. Nenhum deles foi preso.;VERDADE;AOS FATOS
225;Fui o governador mais popular do Brasil. O prefeito de capital mais popular do Brasil.;VERDADE;AOS FATOS
226;Nos últimos oito anos, o Brasil caiu 17 posições no Global Innovation Index.;FALSO;AOS FATOS
227;Em 2017, o país empregou 1,7 milhão de trabalhadores direta e indiretamente na geração de energias renováveis...;FALSO;AOS FATOS
228;Com destaque para 795 mil empregos na área de biocombustíveis.;VERDADE;AOS FATOS
229;Hoje o Brasil é o líder mundial no ranking em transtornos de ansiedade...;VERDADE;AOS FATOS
